id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1286750250951204869,1286684833259892737,1595620141000,2020-07-24,21:49:01,CEST,1221528806047068163,frederic__1972,Sohn Frédéric,,#StopMasques : La seule personne sensée exclut. Exclut parce que les autres passagers croient bêtement à la propagande médiatique.,['cnews'],[],[],0,0,1,['#stopmasques'],[],https://twitter.com/Frederic__1972/status/1286750250951204869,False,,0,,,,,,,"[{'user_id': '1221528806047068163', 'username': 'Frederic__1972'}, {'user_id': '18396319', 'username': 'CNEWS'}]",,,,
1286731446468718595,1286719522804830208,1595615657000,2020-07-24,20:34:17,CEST,1250349038710304769,sankukai11,Sankukai,,#onnoublierapas les collabos de la propagande mondialiste #WHO OMS #Statescandal #Covid_19 coronavirus Nîmes GARD #Nimes #StopMasques #StopDictatureSanitaire pic.twitter.com/ZPHm3CwCMv,"['jboy66918065', 'bleugardlozere', 'aidesoignante44']",[],['https://pbs.twimg.com/media/EdtjbgUWoAU_-W1.jpg'],1,0,0,"['#onnoublierapas', '#who', '#statescandal', '#covid_19', '#nimes', '#stopmasques', '#stopdictaturesanitaire']",[],https://twitter.com/Sankukai11/status/1286731446468718595,False,,0,,,,,,,"[{'user_id': '1250349038710304769', 'username': 'Sankukai11'}, {'user_id': '1273227473145266176', 'username': 'jboy66918065'}, {'user_id': '103046415', 'username': 'bleugardlozere'}, {'user_id': '1613113950', 'username': 'aidesoignante44'}]",,,,
1286725927439917057,1286725927439917057,1595614341000,2020-07-24,20:12:21,CEST,488858079,13zico,Morales🦑,,"#Stopmask #StopMasques #stopmaskom czy powiemy stop idiotycznym przepisom, czy będziemy prowadzeni jak barany.",[],[],[],1,0,0,"['#stopmask', '#stopmasques', '#stopmaskom']",[],https://twitter.com/13zico/status/1286725927439917057,False,,0,,,,,,,"[{'user_id': '488858079', 'username': '13zico'}]",,,,
1286717133368377344,1286717133368377344,1595612245000,2020-07-24,19:37:25,CEST,488858079,13zico,Morales🦑,,#StopMasques,[],[],[],0,0,0,['#stopmasques'],[],https://twitter.com/13zico/status/1286717133368377344,False,,0,,,,,,,"[{'user_id': '488858079', 'username': '13zico'}]",,,,
1286693985851932672,1286693985851932672,1595606726000,2020-07-24,18:05:26,CEST,1251787949869539329,mediaracine,MediaRacine ✚,,"#StopDictatureSanitaire
#StopMasques
#
Corona Circus, le port du masque obligatoire s'arrêtera après le 4 novembre 2020 : date de l'élection américaine …
#",[],[],[],0,1,0,"['#stopdictaturesanitaire', '#stopmasques']",[],https://twitter.com/MediaRacine/status/1286693985851932672,False,,0,,,,,,,"[{'user_id': '1251787949869539329', 'username': 'MediaRacine'}]",,,,
1286688356437458946,1286688356437458946,1595605384000,2020-07-24,17:43:04,CEST,14090348,deltaplan,deltaplan 🇪🇺,,#nonaumasqueobligatoire #StopMasques #Scandinavie https://twitter.com/deltaplan/status/1286685791570333696 …,[],['https://twitter.com/deltaplan/status/1286685791570333696'],[],0,0,0,"['#nonaumasqueobligatoire', '#stopmasques', '#scandinavie']",[],https://twitter.com/deltaplan/status/1286688356437458946,False,https://twitter.com/deltaplan/status/1286685791570333696,0,,,,,,,"[{'user_id': '14090348', 'username': 'deltaplan'}]",,,,
1286679856353353728,1286679856353353728,1595603357000,2020-07-24,17:09:17,CEST,14090348,deltaplan,deltaplan 🇪🇺,,"Les Français qui sont habituellement si prompts à louer l'exemplarité des gouvernements des pays scandinaves doivent admettre que si ces pays n'imposent pas le port du masque, voir même ne le recommandent pas, c'est qu'il y a une bonne raison. #nonaumasqueobligatoire #StopMasques  https://twitter.com/PishPishCat/status/1275710709054287872 …",[],['https://twitter.com/PishPishCat/status/1275710709054287872'],[],0,0,0,"['#nonaumasqueobligatoire', '#stopmasques']",[],https://twitter.com/deltaplan/status/1286679856353353728,False,https://twitter.com/PishPishCat/status/1275710709054287872,0,,,,,,,"[{'user_id': '14090348', 'username': 'deltaplan'}]",,,,
1286678373301977091,1286678373301977091,1595603004000,2020-07-24,17:03:24,CEST,1251787949869539329,mediaracine,MediaRacine ✚,,"#StopDictatureSanitaire
#StopMasques
@EmaKrusi
#
« MASQUES ET SOLUTIONS & LE NOUVEAU SYSTEME »
par Ema Krusi @EmaKrusi
# https://www.youtube.com/watch?v=aBofTal2emM …",['emakrusi'],['https://www.youtube.com/watch?v=aBofTal2emM'],[],0,0,0,"['#stopdictaturesanitaire', '#stopmasques']",[],https://twitter.com/MediaRacine/status/1286678373301977091,False,,0,,,,,,,"[{'user_id': '1251787949869539329', 'username': 'MediaRacine'}, {'user_id': '1269398878287208449', 'username': 'EmaKrusi'}]",,,,
1286660346770599937,1286660346770599937,1595598706000,2020-07-24,15:51:46,CEST,1266068295834316800,sonsofl98254237,sons of freedom,,"J’aimais déjà pas beaucoup les grandes surfaces et galeries marchande avant, mais là avec la paranoïa coronavirus, c’est la totale ! Des gens masqués, apeurés mais qui semblent aimés ce nouveau mode de vie. Bref pas pour moi, vive la liberté ! #StopMasques #Covid_19 #COVID__19",[],[],[],1,0,1,"['#stopmasques', '#covid_19', '#covid__19']",[],https://twitter.com/sonsofl98254237/status/1286660346770599937,False,,0,,,,,,,"[{'user_id': '1266068295834316800', 'username': 'sonsofl98254237'}]",,,,
1286652595356999680,1286053584862314499,1595596858000,2020-07-24,15:20:58,CEST,1250349038710304769,sankukai11,Sankukai,,#Statescandal coranovirus #Covid_19 #StopMasques #StopAuxRacailles @LREM #StopDictatureSanitaire Les masques imposés par Véran regorgent de staphylocoques https://ripostelaique.com/les-masques-imposes-par-veran-regorgent-de-staphylocoques-et-de-streptocoques.html …,"['daguetbabich', 'lrem']",['https://ripostelaique.com/les-masques-imposes-par-veran-regorgent-de-staphylocoques-et-de-streptocoques.html'],[],0,0,0,"['#statescandal', '#covid_19', '#stopmasques', '#stopauxracailles', '#stopdictaturesanitaire']",[],https://twitter.com/Sankukai11/status/1286652595356999680,False,,0,,,,,,,"[{'user_id': '1250349038710304769', 'username': 'Sankukai11'}, {'user_id': '1005940040923566083', 'username': 'DaguetBabich'}, {'user_id': '20587087', 'username': 'lrem'}]",,,,
